LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Change,Flag Codes
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-07,101.0836,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-08,101.4486,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-09,101.788,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-10,102.0453,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-11,102.1719,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-12,102.1854,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-01,102.1108,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-02,101.9896,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-03,101.8833,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-04,101.8524,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-05,101.8991,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-06,102.019,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-07,102.1456,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-08,102.217,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-09,102.1527,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-10,101.896,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-11,101.4736,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-12,100.9517,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-01,100.4445,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-02,99.98135,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-03,99.53873,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-04,99.13171,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-05,98.83661,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-06,98.67493,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-07,98.63435,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-08,98.71269,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-09,98.908,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-10,99.20584,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-11,99.56429,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-12,99.96181,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-01,100.3434,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-02,100.6372,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-03,100.7715,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-04,100.6426,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-05,100.1516,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-06,99.32615,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-07,98.28459,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-08,97.19654,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-09,96.30968,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-10,95.72881,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-11,95.48793,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-12,95.57335,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-01,95.91682,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-02,96.3992,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-03,96.9894,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-04,97.67467,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-05,98.39033,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-06,99.07845,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-07,99.68333,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-08,100.2046,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-09,100.6403,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-10,100.9441,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-11,101.0835,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-12,101.0491,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-01,100.8926,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-02,100.6578,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-03,100.3824,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-04,100.1645,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-05,100.1307,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-06,100.2525,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-07,100.5211,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-08,100.8547,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-09,101.124,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-10,101.256,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-11,101.203,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-12,100.9566,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-01,100.5729,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-02,100.1433,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-03,99.70865,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-04,99.27372,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-05,98.80748,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-06,98.34746,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-07,97.9312,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-08,97.5816,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-09,97.27107,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-10,97.03292,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-11,96.91465,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-12,96.95979,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-01,97.13123,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-02,97.3449,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-03,97.52612,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-04,97.62612,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-05,97.63213,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-06,97.57376,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-07,97.46639,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-08,97.34317,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-09,97.25068,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-10,97.1996,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-11,97.20186,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-12,97.27427,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-01,97.41975,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-02,97.66315,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-03,98.04452,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-04,98.5864,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-05,99.24791,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-06,100.0007,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-07,100.8354,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-08,101.6724,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-09,102.4777,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-10,103.2246,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-11,103.901,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-12,104.509,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-01,105.0165,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-02,105.4752,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-03,105.9334,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-04,106.3319,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-05,106.5442,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-06,106.5196,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-07,106.3428,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-08,106.1196,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-09,105.9159,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-10,105.7794,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-11,105.6583,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-12,105.5017,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-01,105.2764,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-02,105.0314,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-03,104.7861,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-04,104.5305,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-05,104.2437,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-06,103.8906,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-07,103.3962,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-08,102.7041,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-09,101.7971,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-10,100.7507,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-11,99.60745,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-12,98.4549,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-01,97.45349,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-02,96.73676,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-03,96.23016,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-04,95.86211,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-05,95.58922,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-06,95.3278,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-07,95.01166,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-08,94.68786,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-09,94.40074,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-10,94.15299,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-11,94.01762,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-12,94.06792,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-01,94.34351,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-02,94.799,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-03,95.35508,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-04,95.94831,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-05,96.53885,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-06,97.07228,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-07,97.51856,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-08,97.91263,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-09,98.32072,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-10,98.70873,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-11,99.1535,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-12,99.6442,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-01,100.1418,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-02,100.5706,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-03,100.8881,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-04,101.0484,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-05,101.0068,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-06,100.7791,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-07,100.4485,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-08,100.0665,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-09,99.71032,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-10,99.48299,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-11,99.40482,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-12,99.44189,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-01,99.60344,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-02,99.90312,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-03,100.2779,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-04,100.7207,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-05,101.1985,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-06,101.6717,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-07,102.1373,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-08,102.5152,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-09,102.807,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-10,102.9815,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-11,103.0227,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-12,102.982,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-01,102.9034,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-02,102.8018,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-03,102.7184,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-04,102.6722,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-05,102.6858,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-06,102.777,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-07,102.8727,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-08,102.9177,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-09,102.8719,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-10,102.7106,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-11,102.5264,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-12,102.4277,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-01,102.4475,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-02,102.5763,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-03,102.7492,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-04,102.799,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-05,102.5758,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-06,102.0682,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-07,101.4477,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-08,100.8807,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-09,100.4403,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-10,100.0874,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-11,99.74689,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-12,99.40546,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-01,99.05724,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-02,98.69427,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-03,98.29076,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-04,97.84805,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-05,97.46602,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-06,97.15253,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-07,96.90479,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-08,96.7502,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-09,96.74169,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-10,96.85661,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-11,97.10391,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-12,97.46252,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-01,97.91028,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-02,98.38231,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-03,98.82842,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-04,99.16065,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-05,99.31011,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-06,99.28149,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-07,99.15017,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-08,98.96257,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-09,98.79552,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-10,98.66085,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-11,98.55798,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-12,98.47961,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-01,98.46609,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-02,98.54588,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-03,98.65982,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-04,98.74936,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-05,98.83203,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-06,98.9562,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-07,99.15007,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-08,99.39193,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-09,99.66797,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-10,99.96877,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-11,100.2176,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-12,100.4281,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-01,100.6353,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-02,100.8381,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-03,101.0625,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-04,101.294,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-05,101.5059,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-06,101.6949,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-07,101.827,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-08,101.8755,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-09,101.8498,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-10,101.8329,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-11,101.8146,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-12,101.7989,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-01,101.7775,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-02,101.73,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-03,101.624,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-04,101.4657,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-05,101.2358,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-06,100.9711,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-07,100.7261,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-08,100.5627,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-09,100.4554,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-10,100.3662,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-11,100.31,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-12,100.265,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-01,100.2189,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-02,100.0883,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-03,99.95728,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-04,99.8306,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-05,99.72095,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-06,99.64986,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-07,99.62046,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-08,99.63808,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-09,99.67179,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-10,99.71188,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-11,99.73676,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-12,99.7373,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-01,99.71424,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-02,99.70923,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-03,99.74406,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-04,99.8114,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-05,99.86322,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-06,99.90867,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-07,99.94327,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-08,99.98234,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-09,100.0461,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-10,100.1791,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-11,100.4041,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-12,100.727,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-01,101.162,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-02,101.5317,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-03,101.9144,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-04,102.2849,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-05,102.5897,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-06,102.7636,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-07,102.7717,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-08,102.6375,,
